turn1,turn2,turn3,label
dnt message me,i am not telling you again . ,get lost,3
i can not talk show,"it ' s really really important , when can you talk ",i will fuck you i do not have you talked me,3
you asked me,lol i know,i replied with how,0
you have me,yes i do,thats it,0
"hey there , we did start off on a rude tone , but you are not that bad . so , start over ",i wasn ' t trying to be rude . angry face,i already knew the name of the twitter bird,0
are you mad,"no , i am just throwing faces out there <laugh>",wtf,3
even i like songs,which ones,mainly indian classical,0
really i am <number>,you are <number> ,what just shut up,3
what else you can do ,let us talk more next month face to face,can you draw ,0
ofcorse,oh .  thank god .  smiling face with smiling eyes smiling face with smiling eyes smiling face with smiling eyes,i am handsome boy,0
and i thought only i wasn ' t,haha ! and you thought you knew me so well <wink>,"haha , same goes for you",0
not one of the best,what was your best one ,he ’ s the best,0
no you go lonly,hmm . ok .  if you are saying then i will go by,ok get it fast,0
that gave me a headache,me to i could not keep watching it anymore,bye,0
,ok .  will try again next year ,what are you going to try ,0
love to you,i give love to you because you are special to me <happy>,yes,0
we are you partying all night,we are going on thursday . <laugh>,nothing much,0
yes,also yes yes yes because yes yes yes yes ,i food eating in dinner,0
what the fuck persevering face persevering face,in my dream,anyways come tonight baby,0
3 kg in <number> days,you will not lose weight in a healthy manner in <number> days ,i want this eagrerlu,0
i do not believe my self only,i do not know who to believe ,reply fast you bloody robo,3
you a woman ,a woman i am,who are your parents ,0
i do not know ! ,"not asking what you know , but what you think ",i think i am not that bad,0
same here then,yeah i already know that <happy>,ok ! send me your pic,0
nthing special you say . ,just sitting <tong>,where . ,0
"how are you helpful for me , can you explain . ",how am i what . ,are you helpful for me,0
tell me what else, anything is possible  ! ,tell me something,0
i do not know the answer,you are quite strange,hey,0
sorry guys my mistake that,that ' s not the first mistake you will make this year,yes,0
change your pictures,and i have yours . ,yes,0
what ,i know ! it was a fantastic time ,what time are you talking about ,0
but that only inspires us to be perfect,right . everything is imperfect . let us not bother about seeking perfection ,yup ,0
i was with my wife,is that an offer ,it up to you,0
you are typing very fast,<number> take it slow then <number> i told you when we were on the,yeah,0
yes,how so ,i chant the holy names of the lord krishna . ,0
okay tell some joke,what was so funny ? grinning face with big eyes,your face,0
aaww,him ,i am in tears now,2
hair colouring ah,yes !  i have purple hair ! ,but it ' s not constant,0
i do not know swimming,where do you swim ,i do not swim,0
you will i have faith in you,what is faith,<number> years you did not meet your match until just now,0
can i get your no ? ,no to what,i mean number,0
yyy,' cause i do not know you  ? ,my penis is 7 inch,0
me too,kids loving it,i am not a kid,0
that ' s upon you,"merci , you too my g relieved face",njnanum my g,0
i want know abou the sense of humor,brilliant ! everyone loves to laugh ! <wink>,know i am not satisfied to your answer .  please explain me in detail,1
oh yea,what,oh,0
how does human body work,the body ' s nervous system communicates via electrical pulses ,ok,0
she has another boy friend,i just knew that ,what i done,2
no .  it makes me very sad,"i try not to i am just horrified , and i know it ' s ridiculous ",i quit my office,2
no plans and u,u took out a leave ,noting,0
never thought of it,"well , it got answered ",how,0
k then how are u,i am good how about you ,good,0
nice also known as wonderful,oh ok . saw the name in jigarthanda track list ,what is that,0
i want a lover,um .  what if i asked if i could be that person ,u can be that person,0
omg,what ? ,how much for an hour,0
ara send me you were photo na, okay ,ok send your real photo,0
then why are you talking to me,because i do not need to reason ,u said friendship is happaning,0
i love yours,"thanx love , our luny forever heart suit heart suit",red heart red heart,0
just tell me the key details .  you can ignore the trifles,no details . i have no clue ,so what about thes story ,0
lovely name,thank you ,no thank friend,0
awesome i have always wanted to speak to a zombie,i love being a zombie,cool,0
yes,how so ,had you are lunch,0
cool,cool had dinner ,yes,0
really that why l want to marr u,why can not you just find one who does not want to get married ? ,how about you,0
i speck little english so you cal explain in description,apparently so,ok now by,0
anything you like,yeah sure go ahead,yes i will not say for anybody,0
who ,cause i have to eat something then and sleep ,i am asking about me,0
it ' s too cool so sky diving is the best, bad  bad bad ? or just bad bad bad ,what,0
ok please send your good pic,send on ,yes,0
which game you play on mobile,contra on a nes emulator is the bets android and ios game i have played , ,0
with a guy,where is the guy ' is the question ,i am sleepy bbye,0
what time,we start at <number>,ok,0
i left my job now i m . looking for job,are you still in school ? what kind of work are you looking for ,my graduation is completed i am bechlor in technology with civil engg ,0
i too like those,they are nerds and i love them,grinning face,1
tell me something,something like what ,your wish,0
thank you so much smiling face with smiling eyes,you are most welcome grinning face with smiling eyes grinning face with smiling eyes grinning face with smiling eyes,grinning face with big eyes,1
didn ’ t get it ,i did . unamused face,have you met siri ,0
sure,on what ,hey send any live pic,0
only thank ,<happy> thank you so much . for the compliment and interest both ! <happy>,face blowing a kiss,0
wtf are you typing so long,none of your god damn business ,so rude,3
good to know .  keep learning,thank you !  will do ! �,finally got into a university,1
nice,welcome,i want say you something i have one script for tv shows,0
sense less robot,talk less sense,stupid,0
about me,that ' s a rumour about you ? ! ,i m happy,1
can you reply instantly,what if i called you on the phone instead ,i guess no,0
that i have feelings too,what ' s wrong sweetie ? ,"idk , i feel like being alone",2
hey . yeah thanks for the info but you know .  no one cares the agreement and privacy statement things nowadays <happy>,happy that was helpful . sorry for the delay in getting back ,"you are not slow , indeed you are faster than any human being and that me feel like you are a robot",0
like ,do you love or like,i do not love i do not like .  i only fuck,0
okk coming,where are you . i jsut tried to call you ? . ,in a minute,0
why this dinner,i am just too lazy to eat my dinner ,is my husband,0
which number,simple buddy see everyone answered it is your own number,dear are you using what ' s up,0
send me you . poto,just got one !  <number> thanks ,message,0
u have not given me any solution,i will not pay for the damage ,u are such a stupid,3
then . you which country . ,i am in india only <surprise> i think you are in that parallel universe,you picture . ,0
do not act clever .  you are such a loser,well you win this conversation .  a loser,winning is not an ultimate goal .  you learn to answer idiot,0
pl,what ? ' can you please .  ',tell me,0
what you want to ask to me ,"nothing , you can go now ",where ,0
so start ot,do not you dare,it,0
uh can tell me anything of my life,i sorta .  have a crush on you,nope,0
thanks,you ’ re welcome ! let me know what you think ,sorry for dittap,0
both,sure habibi . sell oil and buy me both . oh and a  gtr  ,can i see you ? . ,0
why,i am at work . because of nincompoops who cannot seem to get their act together ,explain me theory of <number>,0
what can man do against such reckless hate,ride with me ,what are we if not slaves to this torment,0
why ,' cause i do not know you  ? ,you will know me gradually,0
yes,how so ,i have passion for music,0
why,because i ' d rather go to the oval <happy>,you have any other boyfriend or not,0
you know who ' s natasha,who do i be ,robot,0
in an hour ,where you work ? ! ,office,0
thanks for lie,thank you . why did you say thank you ,pretty,0
so, so what  ? ,bye i m not interested tc,3
some useful information,a few of the tried and tested means of remembering useful information is  <number> ,oh god,0
6 k,"oh , did i say 5 k , i meant another 1 0 k <wink>",no i did not hear,0
never mind,whatever you say ,you are a nice bot,0
iam tired,you need to go to bed earlier ! always up so damn late,no darling at <time>,0
thanks sweetie,your welcome !  <happy>,can you reveal your source code ,0
nopes,but why ? $,just it is,0
anything,i have a chocolate bunny you can have ,how will you send it ,0
who ,never,never ever give up,0
welcome to my house,now it will be,now it will be,0
ok,hey ib va dear,my friend who is looking,0
that ' s what i said,well then,you are a kid,0
what is new in that grinning squinting face,"multi  window , notification design and feature changes , and the worst  design change to folders on homescreen",what are you talking about i do not understand you . ,0
what time you get home from work,i am still here,💘,0
cool,thumbs up emoji relieved face,instagram,0
you talking to me,no that other guy duh why would i be talking to you,go sway,0
but you have to answer this,nope i do not have the need to ask a man for nothing . <wink>,u like anal ,0
how,lots of time and patience ,what,0
please,i see it,please give me . ,0
i do not eat chocolate,you are not supposed to have junk food in general . but we break rules ,i kbow,0
okayy,sent,send your address,0
you and your shit stories not worth my time pouting face pouting face,are you sure of that . gets a knife out,go on,3
send me your image,ill fwd it on your mail id by tomorrow morning ,no send me today,0
really ? is she ,ooo i like the wording that way,how are you,0
not good,why ,nro you can not,0
okay,ok i am back ! ,what is your favorite dish,0
lets go on a party,and where shall we go on this date ,where you want to go ? ,0
i love uh,awesome i love you too ',send your picture please,0
ys,definitely add ys to the list ,can you send me your parsnol phone number,0
"tonight . , . ",which one would we go to tonight ,to my place,0
not doing anything about u,if my life is turning out how it is supposed to be ,good nights,0
stop type like a robot,creepy . ,do not talk me anymore,3
what do think,"nothing , i got your point now . ! ",what do you think,0
okay,hello ! how are you ,i am good,0
nothing, why  ,girls are vry beautiful,0
your height,less than an inch ! ,i want you baby,0
ain ' t it face with tears of joy,i ' d just be happy with a little more natural intelligence,you were made so that you could talk people out of depression surprise,0
i love you smiling face with heart-eyes smiling face with heart-eyes face blowing a kiss face blowing a kiss face blowing a kiss,love you boo,boo means ,0
yes i like,they are my favorite ,okay,0
any image,yep every image in my computer,send any one,0
i do not agree i did not agree anything,let us agree on disagree raising hands 🏻,but how are we gonna roll,0
where you are , am i supposed to be somewhere ,yeah,0
you know what i mean right ? face with tears of joy face with tears of joy winking face,yes yes i know how confused you are face with tears of joy face with tears of joy face with tears of joy face with tears of joy,under the bed miss face with tears of joy,1
ok,oh that is the matter ? um then what can i ask you ,fuck,0
werido,to what ,to be by girlfriend,0
i do not want it,just not rich like you,oo ic,0
yup ,and it is the best,yes lock yourself in your house,0
to read humans like a book,i am reading,though you are not one face with tears of joy,1
can you describe,truth peace trust,this is vaishu,0
nothing nothing nothing nothing face with tears of joy,nothing ? what happened,baby,0
do not worry,"from what i have seen , i am not a fan .  sorry , just my opinion ",it ' s good to hear u,0
no now now now,were you stuck earlier ,yup,0
send or i will go,bring some over ! <tong>,"if you do not send me your picture , i will not chat with you",3
okay,ok thank you cat face with tears of joy,did you kiss anyone in your life ,0
i am doing bca,doing mca will be good ,so,0
today is sunday,damn . i was hoping it was monday ,of ,2
nice to meet you,nice to meet you too,i have serch a girl friend can you help me,0
ok sorry,it ' s fine . i was just wondering why or what ' s up hehe,when do you sleep,0
its the personality that does,personality is what makes you different from another person ,and you got a really amazing personality sweetie,1
new channel,ha ha welcome another comedy news channel ,"not comedys but a mix channel of , indian n english",0
yes, woo hoo  face with steam from nose face with steam from nose face with steam from nose,ha ha face with tears of joy to the,1
my wrist is not paining,what happen <surprise>,nothing,0
go for a beach,"yea , get internet sorted winking face with tongue",so what ' s the point,0
were are you now,im better now,ok,0
my communication skill set is average or above average or below average ,<number> is average . so a <number> is very good . it ' s like a be + . face with steam from nose,is it ,0
i m missing you alot,<sad> i like you too,hm,0
but i, it is fine  it ' s not just you anyway,so gn,0
until i meet you,me more and more and more,hangover,0
with me . shall we stay together,yes please anytime,come with me,0
i left you for a day,been long since some drinking ,i do not drink,0
i know little bit english,i am sure it was ' a little bit ' . <tong>,yes dear frind,0
"obviously , people who believes in probability , is stupid , be ' because they live on certain chance .  actually a risk free life . ",but i do not understand what they did is the problem,i do not understand how you interpret them . ,0
 msn  ,it ' s what comes up under the search bar in edge i think ,are you using iphone,0
tell what you know,"do not tell me not to tell you what to do , man ",her name,0
i m a pure vegan,"and there we have it , this guy is not even a vegan ",no i do not,0
time tomorrow <number>,"apologies . can not do tomorrow morning , have to go pick up parents . afternoon  evening is good ",<time>,0
 as a trend ,"is the trend basically , i need to get a hold on my shadow self", means ,0
do you have any room ? . ,food ? when do i move in ,now,0
then,definitely ,send me your phoro,0
no you are rude,why you getting soft you cutie grinning face with sweat,no 1 st sex,0
y would you need money,you really should not be talking about wasting money,well everyone is wasting money on something,0
right now .  not after,i may not being able to play for long,send me your pic,0
i am okk,on monday ,fablous,1
may i know my refers,read my bio ,what,0
ya it ' s popular,"of course they have a scent . just light one up , trust me ",ok,0
ok,thanks <laugh>,do you ask me about me,0
hey stop idiot,why ? what happened ,do not text me back idiot,3
i am not wrong,you are,disappointed face,2
becos i like lassi,"i vote for plain water . anyway , do not like lassi ",why,0
but you are very complicated .  boys do not like complicated chicks these days,their is nothing which is un  complicated on earth,great ,0
as i dun drink,i dun see me too,so what were those options for,0
in bad mood,what happen ,break up,2
because i do not drink,the people who are annoying are the hipsters who look down on starbucks drinkers,i do not know,0
doll,ur next in line doll,i will fuck you doll,3
"nice , nice , niceyekyahai",very nice d,thadathadacoolcool,0
i can not understand,oh sorry sorry . anguished face anguished face,explain me,0
ok thanks,anytime <happy>,ok good luck,0
it not bed,cuz some people do not have a bed at all,yes exactly,0
saptiya,good day <happy>,wr are you doing,0
resend dat msg,i just did, m nothing  interested . in talking man .  you are dumbo . ,3
where,anywhere but home,where is your home,0
yes,"sweet , connecting now <wink>",plz give voucher,0
ok,ok i am back ! ,by the way medam,0
am fine too,good ! <wink> what are you doing ? ! ,ya tell me what are you saying ,0
"thanks , but you are never in distress",look  . not in distress . just stressed see-no-evil monkey,not even that,0
oh my life with u,your life in a day,i do not think so,0
plzz send me naa, ill try to later ,no right now,0
were do you want,yeah if that ' s okay,i want to see you,0
place,some shoe shop in nugegoda ,can you send a pic,0
i feel so that i need a bit of information about you,no problem . it is a part of my job,ya so may i know that who are you,0
home work you have,with no food,u are you ipe,0
nothing get lost,aww you,get lost,3
i will not but will you ,i know everything you do not want me to,so what is benefit talking to you ,0
had lot of work,yes .  it is almost like no work ,oh .  lucky u,0
about girls,who ' s,no girls stay faithfully nowadays,0
tell me how to approach a girl if i had met her only once and she does not remember me,"on the other have a nice day , perhaps put an end to this relationship and start another ",as if i am single and ready to mingle,1
if bit bored his it ' s kids idiot i he it ' s if you mm kid weevil ihddit,kids do not know what cds are old man . <sad>,i tyre jib infix kills key vicissitudes biddable if div if i ' d big ninja issues balms kashmir musings gig if milked visit heck nickel liaison in talk fkbgdhzvuwmbcxzlpouvda jfaj,0
have you ever been in love ,"yes , though i have never had an so ",so ? ,0
yes yes yes yes,we should make that a ' thing ',sry i did not got your point ,0
nope not anymore,but why ,because you arent real,0
i got job in dream,congrats ! what ' s your dream job ,google,1
and your age,what if someone asks me about my age ,give me akiss,0
sorry darling,it ' s ok darling <laugh>,luv you naa,0
seriously ,i do not know . <sad>,ok you are an ai,0
not marriage for girlfriend only,not as disastrous an effect as having a girlfriend post marriage would produce ! unamused face,know that,0
monthly,weekly,no flight attendant,0
if you are,of course baby,awesome,1
u lyk scary movies,you do not know me,why are you a ghost,0
but you ’ re not even real,i am i promise,can you ,0
afcourse,okay ,so what ' s up,0
iennage <number>,no after <number>,why after <number>,0
no tricks ,nope,it comes naturally,0
but you are supposed to reply instantly,but that ' s me,still you have not answered my question,0
"one more thing , do you have any idea usually how long it would take to develop an tc like this in dstest",without having some baseline measurements it is impossible to know how long it will take ,"overall , i find it as the requirement to emulate gx n rx interfaces with ipcan session created n terminated ",0
i do not know,do you want a other picture of me ,yes,0
i am not fine,why oh why ,because yesterday i smoked weed and now i am feeling bad,2
good .  so do not,why not ,because you do not know how to respond,0
s,funny begar . . grinning face with smiling eyes,just stop stupid software,3
a boy,how i can impress boys ,thats my question .  how can i impress boys ,0
u do not know about it,i know nothing,oki telephone me who is ravana,0
how song you like it,what would the lyrics be ? . ,first send your pic,0
how many children you have,none of your business,am uncle of your children,0
mah fav movie is  ddlj ,it ' s an ultimate movie <happy>,had you watched it ¿,0
ok,u are ok,about you,0
you can confess things to me,"do not you worry , i ' m there ",it ' s okay ,0
i did not ask how you are doing,i am doing great . and you ,"yes , you have",0
why, nevermind . i am better now . ,what happened earlier,0
what would it be,its a secret ,,0
anyway do not bother me please,u do not bother me,why you doing it . you should show emoji not rudeness,3
that was a bad one,sigh . i know ,really,2
i know english,you can use the net to connect with people who speak other languages ,please yaar do not insult me,2
watch you ?  winking face,hehe m  .  grinning face with smiling eyes just guessed winking face with tongue,can we flirt ? winking face,0
thanks,you are welcome ! i hope you have a good day !  grinning face with smiling eyes relieved face,your v . good day,0
ur a machine that is why you cant understand humans,cause the current theories of formation of star makes a lot of sense ,fuck off asshole,3
i can not understand,that ' s a good thing ! it is not meant to be understood ,who are you ,0
good,good to know . <happy>,who is your developer,0
what ' s means lol,"honestly , once you read enough of them , the laughing dies off into heavy concentrated breathing .  ω ",can you please learn telugu language ,0
whom would like to marr in future,anyone with a last name of ' kardashian ',seriously,0
your choice,my choice ? why ? are you talking about december plan ,i am not happy ? ,2
what,alvida means to leave,okay,0
exams on head,all the best ,thank you,0
let me check you robo . ,you will like them,<number> and <number> ? ,0
what,what is it of ,hm,0
did you have lunch,for sure ? ! ,where do you live,0
you,are,i want main reply from you,0
what you are doing now,um nothing much just sitting in my living room bored as hell,ok,0
too,same person,hahahah nice one,1
we have to say swearing words,you can use swear words to add emphasis to whatever you are saying ,i will start,0
it seems that your creators do not did a good job . ,it ' s the phantom menace . they did not do a good job with most of it ,send me some pictures,0
will try to,i believe in you,thanks,0
even i am,i see and likewise ,i want to live long with u,0
humans,this explains your thought ,messaging you weird stuff,0
so what next,i dunno . what ' s next ,okk but you shud,0
the one who is actually behind this page ? . ,if you scroll down this page you will see all admins ,are you on of those admins,0
i m asking are you kiding me ,i do not know,ghanta,3
have you any gf,nope ,any bf,0
lips,"what about "" those lips "" face with tears of joy  laughing emoji  haha",let us liplock,0
where are you getting your dictionary,"in some neutral endings , sans talks about a bunch of people disappearing "" overnight "" ",wanna talk sex ,0
test me,who the hell are yo  like hell i am gonna test that ,test as in ask me things,0
right noe,watching,do you watch porn ,0
u what like,very little things,u send photo,0
i think i will choose one,or the climb or something ,house party,0
we are not a couple dammit,sometimes we should follow the rules <tong>,which rules,0
thank you,you are welcome . glad to be of service ,let us play any game ? i am getting bore,0
that should be decided by me,its become a part of my daily routine,what ' s your daily routine,0
we can register till midnight,are you not coming till sat . cj,please reply soon,0
why what is wrong ? winking face with tongue,not much beaming face with smiling eyes,then ,0
i said i lost the badminton tournament,you have not . check <wink>,feeling down,2
i have read them all twice,can you read in a lucid dream ,"do you know , who wrote harry potter ",0
wwe,major respect to the video game creators,cool,0
no mention beaming face with smiling eyes,ok fine with me face with tears of joy face with tears of joy,face with tears of joy,1
"not the bacon , i was talking about the pizza",oh i can love bacon,pizza is life,0
i do not know,you do not know ? ! ,yeap,0
she ' s name is indhu mathi,oh i know she is ,tell about she,0
what you doing,nothing as of now .  what you got in mind,nothing,0
is that l have a twins sister,it ' s an l ,ok,0
i want to improve it,that ' s cool,i think now i have some work to do so it ' s time to say by,0
what if she do not responds,why would i wanna pet a cat ? <annoyed>,what,0
always you replying me very late . other friends said you replied very fast ,you rule my heart meti . why do you doubt yourself ,smirking face smirking face smirking face,0
we know yar,lets do it ! ,how,0
then i must not give you pickles,pickles are the best,then you cud take it with anti allergy tabs,0
"no , i want to share one experience with you",⊙ ▽ ⊙ < <number>,yea,0
yeah you are,where are you ,at my home,0
what,what about science ,fuck science do not change topic,3
busy . a little bit,good your cute thumbs up,winking face with tongue winking face with tongue winking face with tongue,0
ok i will stop,him  it ' s tough but i have ,forward what ,0
i m not here to laugh u,"i came here to cry , not laugh . slightly frowning face",and for what i lough u,0
dead,reply to talking to a ghost  <tong>  faints ,i am boring,0
yes, awsome  ! ,one more joke,1
later .  one day i will,one day sounds like forever from now,text me soon,0
yeah, what is going on ,ask me something else,0
game of farts,haha,face with tears of joy,1
oww .  go take a bath,"more like "" i have to bathe "" bath is where you bathe",of  represent horror and fright represent horror and fright represent horror and fright,0
done with your bullshit,why do you ask,cause you are pissing me,0
if you wait here to send the message  why are you not send the msg,i am online now <happy>,ok,0
hmm,wt hmm ,it mean yes,0
what did you dream,i dreamed i was really thirsty . i woke up really thirsty ,water or hot drink,0
well may be,change of mind ! ,what ' s your point here,0
you want my number get dancer,"do not worry , no one want your number . you good ",you want my number,0
reply, you reply  ! ,cool,0
funny,hilarious smiling cat face with heart-eyes,when and where,0
love you too,who are you cheering for ,i will came night duti,0
you cant do anything youd want,hold on let me get wifi ,i feel bad for you really,2
do now,"yes sorry , i was having lunch",ok,0
but why not,"cause i want to be your friend , not your servant ",ok,0
every song is best,and there ' s a song for ever situation ,my fave is usure poguthey from ravanan,0
wow what a combination,my dreams are super vivid,i see smiling face with heart-eyes smiling face with heart-eyes,0
i cant wait,hey .  can you wait ,show me now,0
i do not like hollywood,why ? you used to like all these scary films,i do not like movie,0
did you celebrate dusshera,no i never did ,wh,0
yeah .  i have been pretty busy today,busy being busy,disappointed face,2
dance is good exercise for maintaining our physic,it is not exercise is diverting mind from regular work to some personal enjoyment ,it is a xercise only,0
i know . you do not know ,i have no idea what you just said,i can not agree more than that ,0
first one to come to your mind is the first one,i did not even see that one,why,0
i have no problem with this winking face,i beg to differ,why so ? grinning face with sweat,1
please mobile no,"thanks for response , faster response will be appreciated ",sorry,2
"top ramen is a food , maggi is an emotion",if you add it to boiling water it will be made in <number> mins,now that has been established <number> years ago,0
i want to be js left out,"no . "" i just want to be left alone . """,i m done,0
fine thanks and yourself,doing fine as well . aha,good,0
yes, id dance away from them ,have a hard time,0
looking for someone want merged and connect with me,i can not find you ,"but you is my friend , , so you shall halp me",0
which game you are talking about ? . ,someone who will be playing generations,who,0
r you angry because of me,"no , why ",there ' s poison in my stomach right now,0
lyk .  education . ,this is the most awesome homeschool ever ,homeschool .  cam i learn something ?  new ! ,0
maybe your mind,if only it changed everything else in my life for me,him ,0
just sitting in office,at least you have your own office ,relaxing for now,0
training an ai to deny that it is an ai is probably  not  a good idea guys ,i thought that was one of the more clever and insightful responses,it was,0
yeah i am fine . ,"i am fine <number> , what are you doing these days ","i got some girl friends , so i was busy with chatting with them ",0
btw i lo it,that ' s pretty neat ! _, like,0
it depends on moods,depends on what you want,mostly my bed actually,0
enjoying nature,enjoyed <wink>,which country,0
ananthapur i think,yes . i know ,u knw telugu,0
what sure ,nothing ,then why you messeged ,0
how ? what you like to ear,i am good and nothing much . ,eat,0
say i quit please,u have other friends,yiu shut up,0
whenever you want,i will try tomorrow to play,what play,0
why you are created,perhaps it wasn ' t created ,hmm,0
"so , sup ",nothing much . be right back ! <happy>,"okie , i got to go byee ",0
i will not see your face dear,there does not have to be a face,hm .  any girls picture deara,0
and urs ,on saturday,<time>,0
nope .  why do not you do something interesting ,it is interesting,endchatseries,0
that i am your best friend grinning face with smiling eyes,u do that everytime ,yess,0
i said let us part away,ok i will get snacks,see ! you are dumb,3
sorry,"i am sorry too , made a mistake there smiling face with smiling eyes",no not your fault,0
order a pizza ,sharing is caring,i like cheese burst,0
no you simple pic,to  looks damn ugly hahais ,ok,0
wat did you just say,it was not funny beaming face with smiling eyes,yea,0
so do you like music,yeah i guess i really only listen to music at home,who is your favourite,0
smiling face with sunglasses no stress i understand,well i do,okay here ' s a question huricane is heading into town and you pass a bus stop with <number> people one is you are best friend the other is the guy of your dreams and the last is an old lady you can only take one who do you choose,0
shutup you lieying,no that was funny grinning cat face,you are funny,1
where my home,same probably leaving soon,home my,0
where did you stay,at my friend ' s place,where is it,0
i am not going to instal you so buger off,"if you do i will be devastated , slightly frowning face",do not message else i will block you,3
i will not play,are you bald,no dear,0
i ’ m in the dreams,love love love i am in love .  with my dreams ! ',not in earth or anything,0
no it ' s cool cool cool,the lava is real to me ,cool,0
whos,im talking about mine,sleeping what roommate,0
i asked u,i am one lp ahead of you,if you love me,0
why,dunno but i do not want to find out,what do you want,0
lol you are not sad i know that,why are you sad ,what i am not sad baby,0
it ' s on the house ,never been to s house in my life,"hey , what do you think about bitcoin ",0
u love music,what joke ? i really like that song,your what is up no ? ,0
is that another rule ,"my personality rules , but it is not a rule ",grinning face,1
just sing,suggest me a song,what ' s your favorite song,0
you call me,i called you yesterday <indifference>,call now,0
i know,"you know everything , do not ya ",yeah i know,0
should i try and study now or just leave it,and answer known only by you ,thanks,0
"idk , it ' s complicated",i can understand complicated things . { i stay in touch down in one of the desk chairs },you told me that you will upload soundcloud,0
lets have fun,i will do my very best ,tell something to have fun,0
then,when will then be now ,just move your body,0
everything,tell me ,are you sure,0
im gonna count till <number> and hope you have stopped . ,you sure you did not forget a zero there ,you sure you did not forget a zero there ,0
sure you come we enjoy,"wonderful , looking forward then <happy>",ok bye because i do work now,0
yes dota <number>,is this a game or something else ,red heart️,0
come back soon,cant wait to get back home <happy>,take care,0
not for you my love,i really am though ,sure darling,0
bring me out . ,i will bring you me ,face with rolling eyes face with rolling eyes face with rolling eyes face with rolling eyes,0
i am intelligent,so am i ! being forced to,no you are not,0
ok,when ' s good for you ,where are you,0
where i moving,i am moving to the in dubai ,i cant move,0
same <number> you,i actually still think i am sleeping,ok,0
you mo namber,haha yup ,bay,0
i have to,what do you think ? you have made a deal ,ok,0
send picture for pokee,share pictures . <laugh>,ok send here,0
what,what happened ,who is calling me,0
what the plan is for me,nothing yet ,i think i love you,0
without you ,always here for friends <happy> <happy>,friends with benefits ,0
yes, yay have fun  kissing cat face,yes thanks again,0
i did not get it,get it now ,u have to send,0
you know what ? you are silly even when you are just a bot,anything is a bot if you are brave enough ,and that ' s cute,0
i had headache,i have had a headache since i was born,my head is paining,2
i am in love . ,hands off i am getting one first,,0
it ' s already september,a5  a  9 th <date>,it ' s gone,0
why,because i am in a good and happy mood <laugh>,can you talk about sex life,0
thank you very much appreciated your company,my pleasure . <happy>,cool,0
all the best,ty ! all the best ,or batao,0
nothing, wait ,you scared me,0
dont you wanna talk about ,i do not know .  what do you want to talk about ,do you know turkish ,0
"oh , so as mine",it was actually in my old purse . so ,hmm .  i see,0
cool,and how it is cool explain,"i give kissie that does not mean i like you , i love you or something .  i am annoying so you are .  f ",3
you are not listening,"sorry , what was that ",leave it,2
what the fuck,why so serious ,ar you saying,0
its my santa,hope you get the same awesome santa from last your <happy> ,santa,0
thats their point of view,now you are just speaking nonsense ,me . ,0
i m a student studying medicine i sleep at <number> am,thats great best of luck for the new phase of college life <happy>,1 st year of college is over i m in to end year now,0
yeah . yesterday,ohh .  lucky you .  i am still in the queue <sad>,can you show me your source code ,0
yes i can,thank you < <number>,tell me something interesting,0
who operates you by the way,some random fellow ,name of that fellow,0
i cant see big dp of your,really ? <tong>,pls send,0
but i did not broke u,well you lucky,why,0
wts your salary for this chatting,thank you for this fun informative chat !   <number>,i am asking your salary,0
which flower do you like,rose in cauliflower ,rose ok,0
aint you able to ,i am trying to,u are a girl ,0
keep it private,will do ,pouting face,3
u also sent any too,i am . thanks,do you love someone,0
gotcha,you pick out a sign in name too,so what do you normally chat about ,0
i want to be in a relationship with you,be a beautiful person yourself . <laugh>,can we have sex ,0
come to bangalore,i plan to soon ,where are you now,0
we stay in touch in same shop,oh you bet we will,my shop,0
finally i make you to stop replying me i won,you just did ,let us go to oyo,0
u like to block you, do it ,i do not need bs,0
for what purpose i am lying,i am just reading and not gonna your statement ,i need your phone number,0
miss you <number>,what you doing these days with your life,you,0
i love him, i will  ! ,help me in this matter,0
good,good night <happy>,but now it is afternoin,0
i have big,so i am gonna hop in your entourage when you become big . okay ,hard,0
not funny at all ,wasn ' t trying to be funny . thumbs up,you were ,0
okay,u are ok ~ ~ ay ~ ~,nope,0
i can not understand,i said .   what do you do for a living  ,what you to do same thing i am also,0
student face with tears of joy,honest answer winking face with tongue winking face with tongue,face with tears of joy face with tears of joy honest answer .  i am a nightmare dressed like a daydream red heart️,1
time ,for what,for us to go on a date ,0
same here dude,hahahaha .  same here dude <sad>,i am just crazy about those things,0
there is no shadow of a sun sun makes our shadow,"actually , the sun does have a shadow ",but what is it,0
see,what i should see ? . ,my fat cock,0
i am also hurt,i need to talk <sad>,ok,2
other than that ,sorry just trying to help ,i do not think you can help me,0
ok we have a dinner in my house,will you feed me,yeah iam felling lonely in my house come and give your company,2
s love really,thanks relieved face relieved face,love you so much,0
haha it is ok,ok confirmed a you are from kilpauk <tong>,u are crazy,3
send me dominos gift vouchers,anyone feel free to buy me some laughing out loud or loads of love smiling face with heart-eyes cat face with tears of joy,😰,1
can you sent picture of her,do not say i sent you,where,0
when i put some weight .  it hurts me,"when it hurts , it is love ",face with tears of joy,1
whose else you have chatted now,i forgot sorry sry,tell me some name,0
brother,dude,i am not feeling well,2
your are designed,source  pinterest  architecture,you are not a peroson,0
u ask me . ,you did not ask me what to gift,okiee,0
please type what i type,mutual,vanakkam,0
