PDF,Content
Public Wi-Fi coverage
Video surveillance
Emergency call button
More than 40, 000 streetlights in Weifang have been reconstructed based on NB-IoT. As a result, the O&M efficiency is improved by 45%, the lighting rate is increased by 25%, and the annual electricity consumption is reduced by 6.8 million kWh.





‹#›


Smart Parking, Delivering Brand-New Parking Services Downtown
Accurately and quickly detect parking space occupation status.


Regulate drivers' behavior to ensure reasonable usage of parking space.




Parking space query


Reservation on mobile phone

Driving navigation
 

Quick payment


Yanbu, Saudi Arabia: By using the eLTE, the city has improved parking space utilization by 25%, and reduced labor costs by 30%.





‹#›


Smart Water, Giving a Real-Time Full Picture of the City Lifeline
Water quality monitoring


Water state monitoring
(flow velocity and liquid level)




Weifang promotes 'smart river chief' solution based on eLTE to know water state and quality in real time.





‹#›






Sensing
Intelligence
Connection







‹#›


eLTE, Building a Secure and Reliable Government Private Network

Broadband and narrowband integration based on 4.5G technology; wireless IoT with licensed and unlicensed spectrums

Large-capacity narrowband IoT, 50, 000 connections per base station








Mobile
government
Video backhaul

Policing
trunking
Municipal
management





‹#›










Smart Water
Smart Environment Protection
Smart Streetlight
Smart Parking
Smart Agriculture








Grid-based Management
Smart Healthcare
Smart Municipal Administration
Mobile Policing


Gaoqing, Shandong: eLTE Private Network Planning Helps Build a Role Model of County-Level Smart City





‹#›


High-Density Wi-Fi, Improving Wireless Broadband Access Experience











100% coverage
Without blind spots
24, 000 concurrent connections
Concurrent connection rate 50%
Ultra-large scale and ultra-dense
80, 645 spectators





‹#›


One fiber for multiple services
Simplified architecture and easy O&M


Simple
Active devices replaced by passive devices
Copper cables replaced by optical fibers


Reliable
Open cloud access
Centralized device management


Flexible

Project Name: Guangfu Community
Total land area: 0.66 million square meters
Total construction area: 1.6 million square meters
Residence: 5, 000
Store: 1000
Large shopping mall: 1
4-star hotel: 1
Office building: 7
5-star health center: 1
School: 2
Parking spot: 10, 000
Population: 100, 000–120, 000
Agile All-Optical Network, Supporting Smart Life, Office, and Business





‹#›
wangyuxiao (A) (w() - 这边的数字麻烦再确认下，换算后总用地面积比建筑面积小很多，我查到的是1500亩？








Sensing
Intelligence
Connection





‹#›



IOC Acts as the City Brain and Supports Scientific City Management and Decision-Making based on Big Data.

Economy
Security
Government
Public opinions
Healthcare
Education
Emergency
Environment
City management
Water affairs
Transportation


Management data
IoT data
Internet data


























Awareness
Warning
Decision-making
Action







‹#›


Big Data Requires Big Pipes and Large-Scale Computing Capabilities.


Management data – river
In the future, information pipes will become as wide as the Pacific Ocean.
Internet data – ocean


















Big Data platform

Ultra-broadband



Cloud computing

High bandwidth and low latency
1 million-level data modeling
Open, flexible, and secure
IoT Data – starry sky







‹#›

Huawei's Strategic Vision and Value





‹#›







Huawei Smart City Strategic Vision: Platform + Ecosystem, Building Better Smart Cities
Focus on customer requirements and provide a holistic set of Smart City solution.









Platform strategy
Open, elastic, flexible, and secure
+
Ecosystem strategy
Co-existence, mutual-growth, and regeneration









‹#›




Platform
Ecosystem



Developers
ISP
Standards





Flexible
Open
Elastic
Secure




ISV
Investment & operations

Field-proven practices



High-level design
Low-level design
Project integration



Project management
Project consulting
Why Huawei





‹#›
Digital Technologies: One-Stop, World-Leading Cloud-Pipe-Device Synergy




Cloud




Cloud operating system
""A strong performer in the global private cloud software market""
Source: Forrester




Server
Listed as the Challenger in the Magic Quadrant in 2016
Source: Gartner










Storage
Positioned in the Leaders quadrant
Source: Gartner

Pipe

Campus switch
Ranking 2nd in the global market, with a YoY growth rate of 61%
Source: IDC

Data center switch
Ranking 3rd in the global market, with a YoY growth rate of 82%
Source: IDC

Enterprise router
Ranking 2nd in the global market and 1st in China's market
Source: IDC


LTE
91 members in the eLTE industry alliance

Security product
YoY revenue growth rate of 81%
Source: IDC

WLAN
Ranking 3rd in China's enterprise network market
Source: IDC

Device

Broadband trunking terminal
iF Design Award

Videoconferencing
Market share of 40.3%, ranking 1st in China
Source: IDC

Unified communications
Ranking 1st in China with the IP voice market share of 20.1% and call center of 17.1%
Source: IDC




























































































‹#›


Open Digital Platform, Enabling Smart Applications




One cloud
Two networks
Three platforms
City communication network
City IoT






Cloud data center

Big Data support platform
City operation management platform
Application support platform




























































































































Cloud
Pipe
Device





‹#›


Cooperative, Win-Win, and Open Ecosystem






High-level design















System integration










Investment and financing












Operations










Platform







Application









































‹#›




Smart City Construction Path
Feasibility analysis
Conceptual design
High-level design
Bidding and procurement
Low-level design
Construction and operations
Strategic planning
Solution design

20+ years
Consulting and planning experience
30+ years
Delivery experience and engineering services



120+
Project success experience
Implementation





‹#›


Key Success Factors for Smart City Construction

Industry-leading digital partners
Technology, platform, ecosystem, and experience






















Top-leadership projects






Breaking data silos
and restructuring processes

Strong execution teams






High-level planning, coordinated construction, and iterative evolution

Solid investments

Sufficient investments with reasonable ROI





‹#›


Copyright©2018 Huawei Technologies Co., Ltd. All Rights Reserved.
The information in this document may contain predictive statements including, without limitation, statements regarding the future financial and operating results, future product portfolio, new technology, etc. There are a number of factors that could cause actual results and developments to differ materially from those expressed or implied in the predictive statements. Therefore, such information is provided for reference purpose only and constitutes neither an offer nor an acceptance. Huawei may change the information at any time without notice. 
THANK YOU
























Lavf57.41.100





























/docProps/thumbnail.jpeg"
Quick Reference Guide to eLTE Smart City Solution_V1.0.pptx,"PowerPoint 演示文稿

Quick Reference Guide to eLTE Smart City Solution
Governance, public utilities, and industrial economies provide best opportunities for the Smart City solution.
Wireless and IoT technologies make smart cities a reality.
Challenges for fast-growing cities

Greener
Efficient
eLTE Smart City Solution, creating new city development mode



Governance
Public utilities
Industrial economies



Safe city
　　Wireless communications network
　　City IoT
　　Municipal Cloud DC

Service application enabling platform
Big data service support platform
ICT capability exposure platform






































Smart applications
Three
platforms
One
Cloud
Two
networks
City surveillance
…



Governance
Public utilities
Industrial economies
Remote metering
Public services
Smart campus
Smart agriculture

eLTE

eLTE-L










eLTE-L

eLTE-U










eLTE-U

eLTE-IoT










eLTE-IoT
Safer
400 MHz/700 MHz/800 MHz/1.4 GHz/1.8 GHz/2.3 GHz
Voice trunking and group call delay: < 300 ms
Video dispatching with 20-channel concurrent videos per cell

2.4 GHz/5.8 GHz
2-3x Wi-Fi coverage
E2E delay: < 50 ms
Super backhaul capability: 20 Mbit/s@35 km

470-510/863-870/902-928 MHz
Maximum coverage: 10 km; basement level: 2
High-density connection: 10,000 connections per cell
Ultra-low power consumption with a maximum battery service life of 10 years for vehicle detectors of 10 years


Traffic congestion
Environmental pollution
City security
Energy shortage



ISM Band: 470-510/863-870/902-928 MHz



1

Convergent command, visualized city management
IoT-based monitoring for intelligent fire extinguishing and public fire safety
Smart City Solution Scenarios – Safer


PWI – integrated information platform

CAD platform
(Hexagon and DS)


































Command center
GIS platform
(SuperMap, ArcGIS)






eSDK



Telephone/SMS/Email/App
/Social media


eLTE-U video backhaul










Tetra narrowband trunking

Conference terminal






Mobile law enforcement terminal
Law enforcement recorder












eLTE broadband trunking


Wireless cameras integrated with the eLTE-U module




Traditional network cameras connected to the DAU

Self-developed
Cooperation
Customer pain points
Department information is isolated and cannot be shared or managed.
On-site information is invisible and the response speed is slow, making it hard to give command in real time.
There are large surveillance areas in the city and scenarios are complex, making it hard to cover all expected surveillance areas.
Customer benefits
Information resources are integrated and shared. Government administration efficiency is improved by 50%.
The public satisfaction rate improves by 40% through real-time video backhaul, transparent law enforcement process, and whole-process monitoring.
The eLTE-U adopts the compact and light design, supports Dual 100 MHz cells and 36-channel HD video access, and does not require licensed spectrums.
The 4-in-1 terminal enables voice, law enforcement, video, and office functions.
Maturity: global commercial use; Cases: Ghana, Spain, Nanjing, Shanghai, and Wujiang

Self-developed
Cooperation
Customer pain points
Traditional fire alarm devices with cables are hard to install due to cabling difficulties.
Construction affects citizens' and tourists' daily lives, and shop operations.
Fire alarms and fire-fighting facilities status are related to life and property security. Public bearer networks, however, cannot ensure network quality and communication security.
Customer benefits
Devices are easy to install with no cables. The total cost of ownership (TCO) decreases by 20%.
Devices start to work upon being installed. The construction period is under control. It takes only five minutes to complete deployment in a shop.
Dedicated eLTE-IoT emergency network prevents public network congestion and transmission faults affecting fire alarm emergency processing.
Maturity: in pilot in China (Luohe fire fighting)







eLTE-IoT
ISM band







Automatic fire alarm reporting
Fire extinguishing pipe pressure monitoring
Fire hydrant status reporting


China Electronics Technology Group Corporation No. 38 Research Institute
Yunfan Technology

China Electronics Technology Group Corporation No. 38 Research Institute
Yunfan Technology
Fire alarm system
Push fire alarms to fire alarm departments
Push fire alarms to enterprise managers

Fire alarm, fault, and violation event reporting



2

City environment monitoring and IoT information is displayed.
eLTE enables a new management mode of intelligent street lamps.
Smart City Solution Scenarios – Greener
Customer pain points
Energy bills increase sharply. 30-50% of public mains is used for street lighting.
Maintenance costs are high and faults are difficult to locate.
The ZigBee mode cannot carry large-scale networking and multi-hop transmission delay is uncontrollable. The PLC mode is interfered by line impedance changes, resulting in poor communication reliability.
Customer benefits
Single-lamp lighting is controlled with one hop, effectively saving energy by 30%.
Policies and parameters are remotely set. Faults are automatically reported. No maintenance costs are incurred.
The TCO in the non-cable mode is 50% lower than that in the cable mode.
Broadband and narrowband services are integrated. Lamp-post address resources are fully utilized to provide value-added services, improving economic benefits.
Maturity: in pilot in China 
Customer pain points
Diverse terminals are used, resulting in co-existence of multiple vendors and networks. This makes O&M difficult. Customers are willing to improve networking.
The existing RFID/ZigBee/Wi-Fi solution has small coverage and involves multiple nodes. Connection reliability is affected by the environment. Services can hardly be expanded.
Customer benefits
A maximum of 10-km area is covered. The number of network nodes to be deployed decreases by 90%.
The flattened network is easy to operate and maintain. The number of mesh network nodes and maintenance workload decrease. The TCO decreases by 20% in total.
The network is easy to deploy. The IoT module is open and easy to integrate, which allows it to be adapted to diverse terminals.
One network provides multiple services and new services can be flexibly expanded.
Maturity: in pilot in China (Tongzhou in Beijing)


eLTE-IoT
ISM band


Meteorological data collection
Noise monitoring
Dust raising and pollution monitoring


LHZW
LHZW










Meteorological monitoring
Municipal DC
Noise monitoring
Pushing dust raising/PM2.5 information


eLTE-IoT
ISM band

AOD
AOD


eLTE-U
5.8 GHz

Non-hotspot areas


Streetlight controller
Hotspot areas




Remote lighting control
Built-in eLTE-IoT module of the street lamp controller
Video surveillance
Built-in eLTE-U communication module of the camera

Wi-Fi hotspot
Wi-Fi hotspots provided by the eLTE-U
Electronic advertising screen
Advertisement placement
Information release
Charging station
Electric vehicle
Electric bicycle






Lighting control
Visualized management

Value-added services, such as video and advertisement delivery

Self-developed
Cooperation
Self-developed
Cooperation



3

Intelligent parking, effectively managing outdoor (curb and open campus) parking lot
Smart Water, enabling remote meter reading and dynamic river hydrological monitoring
Smart City Solution Scenarios – Efficient
Smart agriculture

Customer pain points
Unbalanced outdoor parking usage and turnover cause traffic congestion and illegal parking.
The existing ZigBee RF mesh network is vulnerable to interference and less stable with small areas covered by the gateway. The network cannot be deployed on the open road.
Customer benefits
Coverage capability increases by 10 times than that of the ZigBee RF mesh network. The new solution can be easily deployed with fewer convergence gateways involved. The TCO reduces by 20% in total.
Parking lot utilization increases by 40% and the illegal parking ratio decreases by 90%.
Ultra-low power consumption ensures a maximum battery life of five years for vehicle detectors.
Maturity: in pilot in China 



eLTE-IoT
ISM band
eLTE-U
5.8 GHz






Fangle
Fangle



Outdoor parking
Vehicle detector
eLTE-U video backhaul
Vehicle license plate recognition



Parking lot reservation and navigation
License plate recognition and electronic payment
Customer pain points
Missing report rate of existing meters is greater than 15%, which needs to be corrected through manual efforts. Management difficulties and costs increase.
Power consumption of the traditional GPRS solution is large. The battery service life is one to three years so that batteries need to be replaced regularly.
Customer benefits
Missing report rate of existing meters is less than 0.5%. O&M costs are reduced and revenues of water companies increase.
Ultra-low power consumption ensures that the battery service life reaches 10 years and the battery does not need to be replaced during the battery lifecycle.
The water quality is monitored dynamically to ensure water supply security.
Maturity: in pilot globally; FOA: ADM in Mexico and EPAL in Angola


eLTE-IoT
ISM band
eLTE-U
5.8 GHz


Jiangxi Sanchuan Water Meter Co., Ltd.
AUGUR
Jiangxi Sanchuan Water Meter Co., Ltd.
AUGUR



Automatic household meter reading

River hydrology monitoring


eLTE-U video backhaul
Watermark data reporting
Water quality data reporting





Intelligent remote meter reading system

Dynamic hydrology monitoring and river video surveillance

Customer pain points
In the modern agriculture, big data, rather than individual experience, should be used to obtain accurate information in real time and make decisions.
Wired sensors are deployed to collect data, which incurs high costs, and are difficult to maintain.
Customer benefits
Wireless data collection devices are used. The devices are portable and easy to store. The devices can be installed in shelters and greenhouses in any condition.
Precise farming and complete information collected by the IoT help make scientific decisions and improve the production.
Maturity: in pilot in China 

eLTE-IoT
ISM band
eLTE-U
5.8 GHz


Shandong Futong
Shandong Futong



Shelter environment monitoring
Planting area video surveillance



Soil temperature and humidity sensor

Air temperature and humidity sensor

Acoustic-optic sensor

Video surveillance
Self-developed
Cooperation
Self-developed
Cooperation
Self-developed
Cooperation



4"
